-450.066,77.275,33.237,170.908,51.830,-94.220
-431.224,77.258,33.228,170.910,51.830,-94.216
-434.926,89.883,33.233,170.910,51.830,-94.219
-434.925,89.875,43.928,170.910,51.830,-94.218
-434.933,89.874,20.983,170.907,51.830,-94.221
-441.254,98.046,44.238,173.702,51.924,-92.021
-441.254,98.053,44.234,173.702,51.924,-94.341
-443.782,97.902,51.881,172.092,51.779,-95.606
-447.997,97.654,65.758,169.223,51.462,-97.855
-453.492,97.332,70.269,167.614,51.251,-99.112
-452.272,96.391,68.899,167.835,50.630,-99.481
-458.454,100.828,75.860,166.763,53.749,-97.620
-452.918,103.755,79.066,168.138,55.442,-98.270
-452.918,103.755,79.066,160.554,53.935,-107.556
-452.325,103.364,78.396,160.733,53.658,-107.663
-452.328,94.219,78.392,160.733,53.658,-107.662
-452.322,94.236,87.059,160.734,53.658,-107.663
-452.322,94.243,87.050,163.076,54.073,-105.773
-452.323,94.239,87.048,161.836,56.494,-106.791
-452.323,94.240,87.052,161.834,56.493,-108.952
-452.323,94.247,87.062,161.833,56.493,-103.709
-452.324,94.227,87.053,153.600,55.065,-110.519
-452.325,94.236,87.054,151.055,58.584,-112.652
-455.041,92.623,85.009,151.128,57.602,-111.625
-457.152,81.574,85.010,151.128,57.601,-110.237
-459.584,81.281,95.693,148.886,56.949,-112.125
-455.433,102.020,95.707,148.883,56.948,-114.724
-455.434,81.253,95.704,148.884,56.948,-114.722
-455.433,72.382,95.703,148.884,56.948,-114.722
-449.469,72.392,95.693,148.887,56.949,-114.720
-449.468,72.391,102.754,148.885,56.948,-114.722
-449.471,72.396,102.749,147.320,58.705,-116.047
-449.470,72.385,102.751,144.753,56.800,-118.198
-449.472,72.391,102.758,144.750,56.800,-116.663
-447.341,84.560,102.757,144.750,56.800,-118.218
-426.595,84.562,102.746,144.753,56.801,-118.215
-426.597,77.195,102.752,144.751,56.799,-118.218
-426.598,77.200,84.825,144.751,56.800,-118.218
-426.594,77.201,84.820,142.070,59.324,-120.495
-426.593,77.204,84.825,144.784,56.768,-118.192
-426.599,77.203,72.327,144.781,56.767,-118.194
-414.252,77.195,72.322,144.783,56.767,-118.191
-414.249,77.193,72.312,144.785,56.769,-120.459
-414.249,77.211,72.321,151.910,58.745,-114.433
-414.248,77.212,72.320,157.052,59.819,-110.012
-414.248,77.200,72.319,158.523,57.650,-108.752
-414.251,77.202,72.324,158.520,57.650,-106.807
-418.758,75.634,63.075,158.012,56.856,-105.588
