-48.713,782.846,111.536,156.680,2.375,-157.525,-33.537,-1008.984,214.380,166.796,14.173,-27.447
-48.713,782.846,111.536,156.680,2.375,-157.525,-48.097,-952.370,222.339,-175.665,25.298,-15.742
-48.713,782.846,111.536,156.680,2.375,-157.525,-37.581,-994.846,214.785,173.521,18.734,-15.619
-48.713,782.846,111.536,156.680,2.375,-157.525,-52.832,-909.952,216.266,-167.107,29.486,-14.063
-48.713,782.847,111.537,156.680,2.375,-157.525,-49.106,-1065.862,303.069,167.522,17.972,-19.822
-48.713,782.846,111.536,156.680,2.375,-157.525,68.066,-1064.081,302.365,167.632,18.019,-13.500
-48.713,782.847,111.537,156.680,2.375,-157.525,-97.458,-974.311,328.188,-151.879,0.885,-43.311
-48.713,782.847,111.537,156.680,2.375,-157.525,-116.577,-1061.107,310.298,-173.922,-12.001,-47.272
-48.713,782.848,111.537,156.680,2.375,-157.525,-93.828,-949.210,192.419,-150.447,3.338,-45.118
-52.622,890.896,167.934,148.156,5.492,-158.110,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-50.841,839.519,137.667,155.514,-13.837,167.037,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-50.829,839.108,137.440,164.486,-23.457,139.649,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-48.068,762.368,198.566,164.298,-23.614,139.724,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-50.540,830.806,240.415,159.313,-27.562,141.880,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-46.608,721.722,177.957,166.996,-21.299,138.694,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-52.180,875.829,273.667,155.627,-30.204,143.663,-93.829,-949.209,192.418,-150.447,3.338,-45.118
-12.524,828.528,237.737,159.592,-27.326,139.126,-93.831,-949.209,192.418,-150.447,3.338,-45.118
61.358,787.572,213.157,163.078,-25.630,130.912,-93.831,-949.209,192.418,-150.447,3.338,-45.118
72.657,896.073,291.500,154.446,-32.223,135.101,-93.831,-949.209,192.417,-150.447,3.338,-45.118
-26.418,771.565,202.909,164.308,-24.571,136.782,-93.834,-949.210,192.420,-150.447,3.338,-45.118
-35.320,674.316,157.453,170.402,-18.946,135.337,-93.834,-949.208,192.417,-150.447,3.338,-45.118
-100.327,777.263,209.546,163.507,-25.260,142.536,-93.835,-949.209,192.418,-150.447,3.338,-45.118
-99.884,674.084,159.861,170.037,-19.301,140.903,-93.835,-949.208,192.416,-150.447,3.338,-45.118
-155.291,650.135,154.823,170.803,-18.554,145.625,-93.835,-949.209,192.418,-150.447,3.338,-45.118
