-491.340,-170.862,554.078,-179.998,0.005,35.001
-491.337,-170.860,569.620,-179.999,-0.012,35.001
-491.237,-170.799,576.302,-179.997,0.010,35.001
-491.289,-170.831,588.355,-179.996,0.027,35.001
-491.375,-170.883,602.777,-179.999,-0.012,35.001
-478.117,-170.795,613.164,-179.998,0.005,35.001
-468.239,-170.887,613.076,-179.998,-0.006,35.007
-475.222,-170.822,613.178,-179.998,0.005,35.007
-486.223,-141.815,613.177,-179.998,0.004,35.001
-486.267,-130.051,613.153,-179.997,0.004,35.001
-486.263,-120.346,613.190,-179.996,0.010,34.990
-486.263,-110.723,613.144,-179.997,0.004,34.996
-486.240,-98.107,613.158,-179.997,0.004,35.012
-486.245,-90.178,613.108,179.997,0.000,35.012
-486.230,-82.654,613.161,179.998,0.005,35.018
-486.257,-77.186,613.176,-179.997,0.004,34.985
-486.234,-67.019,613.197,-179.996,0.009,35.006
-486.220,-57.983,613.189,-179.995,0.009,35.012
-486.233,-50.529,613.150,-179.996,0.003,46.026
-486.223,-50.533,613.141,179.997,0.001,48.097
-486.225,-50.526,613.194,-179.993,0.008,51.052
-486.230,-50.536,613.150,179.999,0.006,40.862
-486.233,-50.529,613.150,-179.997,0.004,34.078
-486.233,-50.529,613.150,-179.997,0.004,29.101
-486.267,-50.589,613.148,-179.998,0.005,23.548
-486.225,-50.526,613.194,-179.998,0.010,17.165
-486.267,-50.589,613.148,-179.999,0.005,12.540
-486.233,-50.529,613.150,-179.999,0.005,6.942
-486.205,-50.600,613.208,169.272,-0.054,-0.325
-486.240,-50.586,613.191,167.566,-0.055,-0.339
-486.257,-50.578,613.159,162.088,-0.101,-0.333
-486.090,-50.535,613.202,156.871,-1.925,-0.322
-486.189,-50.533,613.196,156.902,-8.895,-0.336
-486.483,-50.487,613.030,156.903,-10.610,-0.352
-486.316,-50.518,613.062,156.879,-6.505,-0.329
-486.152,-50.527,613.068,158.251,2.246,-0.266
-486.233,-50.521,613.185,166.164,2.273,0.039
-486.257,-50.514,613.126,171.177,2.246,0.248
-486.268,-50.536,612.754,178.914,2.198,0.540
-486.234,-50.573,608.108,178.920,2.183,0.551
-486.248,-50.529,603.448,178.914,2.198,0.540
-486.236,-64.855,594.447,178.910,2.199,0.522
-486.258,-72.814,594.434,178.910,2.200,0.538
-486.224,-78.002,594.462,178.912,2.205,0.548
-488.656,-86.325,594.484,178.918,2.216,0.558
-494.333,-86.230,594.466,178.914,2.209,0.542
-499.409,-86.187,594.525,178.911,2.215,0.542
-505.701,-86.235,594.517,178.909,2.209,0.559
-512.762,-77.494,594.442,178.914,2.199,0.538
-512.792,-72.512,594.390,178.917,2.197,0.566
-512.720,-66.803,594.473,178.912,2.204,0.539
-512.740,-66.091,594.432,178.916,2.200,0.534
-512.698,-61.596,594.492,178.913,2.208,0.556
-512.759,-56.644,594.457,178.915,2.206,0.551
-512.692,-51.172,594.461,178.912,2.203,0.535
-508.956,-51.177,594.424,178.909,2.196,0.541
-503.660,-51.236,594.505,178.909,2.206,0.546
-499.102,-51.254,594.497,178.912,2.206,0.540
-493.935,-51.295,594.402,178.914,2.193,0.540
-486.901,-51.265,594.418,149.998,2.184,-0.592
-486.929,-51.249,594.516,150.115,-6.308,-0.592
-486.968,-51.251,594.403,150.121,-6.306,-0.593
-486.896,-51.183,594.493,159.392,-11.215,-2.412
-486.885,-51.293,594.465,165.885,-10.895,-3.665
-486.929,-51.301,594.492,172.387,-10.402,-4.856
-486.938,-51.283,594.460,177.523,-9.935,-5.772
-525.937,-51.208,594.671,-177.258,-9.355,-6.655
-534.459,-51.309,594.305,-177.243,-9.396,-6.638
-545.729,-51.242,594.446,-177.246,-9.382,2.572
-545.713,-51.254,594.467,-177.250,-9.375,3.815
-545.714,-51.250,594.447,-177.249,-9.374,9.691
-545.669,-51.260,594.502,-177.260,-9.375,15.840
-545.696,-51.418,594.479,160.954,0.165,24.332
-545.674,-51.208,594.332,150.717,11.414,23.998
-545.659,-51.231,594.526,145.824,0.334,23.494
-545.640,-51.160,594.568,152.215,-4.759,23.090
-545.702,-51.243,594.464,155.154,-6.004,22.832
